serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0023,A/Canberra/530/2025_H1N1,plate3-A/Canberra/530/2025_H1N1,5921,0.8364,0.8364
seqneut25to26_sera_0023,A/Canberra/530/2025_H1N1,plate3-A/Canberra/530/2025_H1N1,1.362e+04,1.051,1
seqneut25to26_sera_0023,A/Catalonia/NSVH102689455/2025_H1N1,plate3-A/Catalonia/NSVH102689455/2025_H1N1,40,0.06017,0.06017
seqneut25to26_sera_0023,A/Catalonia/NSVH102689455/2025_H1N1,plate3-A/Catalonia/NSVH102689455/2025_H1N1,92,0.4883,0.4883
seqneut25to26_sera_0023,A/Catalonia/NSVH102689455/2025_H1N1,plate3-A/Catalonia/NSVH102689455/2025_H1N1,212,1.151,1
seqneut25to26_sera_0023,A/Catalonia/NSVH102689455/2025_H1N1,plate3-A/Catalonia/NSVH102689455/2025_H1N1,487,1.212,1
seqneut25to26_sera_0023,A/Catalonia/NSVH102689455/2025_H1N1,plate3-A/Catalonia/NSVH102689455/2025_H1N1,1119,1.109,1
seqneut25to26_sera_0023,A/Catalonia/NSVH102689455/2025_H1N1,plate3-A/Catalonia/NSVH102689455/2025_H1N1,2575,1.128,1
seqneut25to26_sera_0023,A/Catalonia/NSVH102689455/2025_H1N1,plate3-A/Catalonia/NSVH102689455/2025_H1N1,5921,0.8253,0.8253
seqneut25to26_sera_0023,A/Catalonia/NSVH102689455/2025_H1N1,plate3-A/Catalonia/NSVH102689455/2025_H1N1,1.362e+04,1.099,1
seqneut25to26_sera_0023,A/Colorado/105/2025_H1N1,plate3-A/Colorado/105/2025_H1N1,40,0.1412,0.1412
seqneut25to26_sera_0023,A/Colorado/105/2025_H1N1,plate3-A/Colorado/105/2025_H1N1,92,0.8831,0.8831
seqneut25to26_sera_0023,A/Colorado/105/2025_H1N1,plate3-A/Colorado/105/2025_H1N1,212,1.289,1
seqneut25to26_sera_0023,A/Colorado/105/2025_H1N1,plate3-A/Colorado/105/2025_H1N1,487,1.234,1
seqneut25to26_sera_0023,A/Colorado/105/2025_H1N1,plate3-A/Colorado/105/2025_H1N1,1119,1.053,1
seqneut25to26_sera_0023,A/Colorado/105/2025_H1N1,plate3-A/Colorado/105/2025_H1N1,2575,1.219,1
seqneut25to26_sera_0023,A/Colorado/105/2025_H1N1,plate3-A/Colorado/105/2025_H1N1,5921,0.6582,0.6582
seqneut25to26_sera_0023,A/Colorado/105/2025_H1N1,plate3-A/Colorado/105/2025_H1N1,1.362e+04,1.018,1
seqneut25to26_sera_0023,A/CoteDIvoire/2007/2025_H1N1,plate3-A/CoteDIvoire/2007/2025_H1N1,40,0.1109,0.1109
